# Words 1-100

| # | English | Lao | Lao Pronunciation | Japanese | Japanese Pronunciation | Vietnamese | Vietnamese Pronunciation | English Meaning | Chinese Meaning |
|---|---------|-----|-------------------|----------|------------------------|------------|---------------------------|-----------------|-----------------|
| 1 | a | ເອກ | eek | 一つの | hitotsu no | một | một | indefinite article, one | 一个，不定冠词 |
| 2 | an | ເອກ | eek | 一つの | hitotsu no | một | một | indefinite article used before vowel sounds | 一个（用于元音前） |
| 3 | abandon | ປະຖິ້ມ | pa thim | 放棄する | hōki suru | từ bỏ | từ bỏ | to give up completely, to desert | 放弃，抛弃 |
| 4 | abbreviation | ຄຳຫຍໍ້ | kham nyo | 略語 | ryakugo | viết tắt | viết tắt | a shortened form of a word or phrase | 缩写，简写 |
| 5 | abide | ປະຕິບັດຕາມ | pa ti bat tam | 従う | shitagau | tuân theo | tuân theo | to accept or act in accordance with | 遵守，遵循 |
| 6 | able | ສາມາດ | sa mat | できる | dekiru | có thể | có thể | having the power, skill, or means to do something | 能够，有能力的 |
| 7 | ability | ຄວາມສາມາດ | khwam sa mat | 能力 | nōryoku | khả năng | khả năng | the power or skill to do something | 能力，才能 |
| 8 | abnormal | ຜິດປົກກະຕິ | phit pok ka ti | 異常な | ijō na | bất thường | bất thường | deviating from what is normal or usual | 异常的，不正常的 |
| 9 | aboard | ຢູ່ເທິງ | yu theng | 乗って | notte | trên tàu | trên tàu | on or into a ship, aircraft, train, or other vehicle | 在船上/飞机上/车上 |
| 10 | abolish | ຍົກເລີກ | nyok loek | 廃止する | haishi suru | bãi bỏ | bãi bỏ | to formally put an end to a system, practice, or institution | 废除，取消 |
| 11 | abolition | ການຍົກເລີກ | kan nyok loek | 廃止 | haishi | sự bãi bỏ | sự bãi bỏ | the action of abolishing a system, practice, or institution | 废除，废止 |
| 12 | abort | ຍົກເລີກ | nyok loek | 中止する | chūshi suru | hủy bỏ | hủy bỏ | to terminate a process or operation before completion | 中止，终止 |
| 13 | abortion | ການເອົາລູກອອກ | kan ao luk ok | 中絶 | chūzetsu | phá thai | phá thai | the deliberate termination of a human pregnancy | 堕胎，人工流产 |
| 14 | about | ກ່ຽວກັບ | kiak kap | について | ni tsuite | về | về | on the subject of, concerning | 关于，大约 |
