# Deletion log for _prompts/History.txt
# Each line records a line range removed from the ORIGINAL History.txt (58304 lines,
# generated 2026-06-23 11:45:21). Pruning was done tail-first (decreasing original start
# line) so these ORIGINAL line numbers stay valid for every range, even though kept
# blocks (sessions db694d3b, ce3decd1, 5849e1f9, 3330ef60) sit between deleted ranges.
# Full backup of the original: _prompts/History (copy 1).txt
# Detail / verification evidence per range: _prompts/History.reconcile-report.md
# Result: 58304 -> 11292 lines (header + 4 kept blocks remain).
#
# format: del <start>-<end>line   # session — reason
del 58290-58304line   # session 38387177 — header + 1 truncated prompt, no file mutations
del 58177-58289line   # session c3c67a65(dup) — scripts/claude_tools/README.md present, applied
del 57848-58176line   # session a3c83991 — scripts/claude_tools/extract_claude_history.{py,sh} present
del 53233-57847line   # session de800a42 — task-system hardening; all 8 in-scope files present/superseded
del 36039-53232line   # session 12d3adc4 — PHP/Kali install fixes + AI-safety doc; all present/superseded
del 35200-36038line   # session c3c67a65 — claudeteam.sh/.ps1 opus-force edits present
del 31259-35199line   # session 72f100dd — product code present; 2 planning docs unrecoverable (see report)
del 25721-31258line   # session 1cdf1159 — 13 cross-OS launcher files present; swoole msg forward-fixed (F1)
del 15414-25720line   # session c4f2933e — install-script merges + AI-safety rollout; all present/superseded
del 10838-10857line   # session 633c359a — "HI" greeting, no file mutations
del 5-4105line        # session 6245db8a — claude/CUDA tooling present; CUDA slim-menu forward-fixed (F6)
#
# KEPT (NOT deleted) — document genuine un-applied / decision-needed work; see report:
#   4106-7415    session db694d3b — F2/F3 forward-fixed; F4 (apt-backups loc) & F5 (ubuntu-keyring gate) need decision
#   7416-10837   session ce3decd1 — prompt-5 legacy 'dev_system_old'/migrate_* retirement not persisted (re-doing = a deletion)
#   10858-13492  session 5849e1f9 — autostart backend never applied (live UI/API contract mismatch)
#   13493-15413  session 3330ef60 — ~59 install-script idempotency fixes never committed (F7 fixed 1; bulk unrecoverable)
