# Deletion log for _prompts/HistoryPycorePHP.txt
# HistoryPycorePHP.txt is a byte-identical copy of the full original history (md5 99335bec…,
# 58304 lines). Pruning is tail-first (decreasing original start line) so these ORIGINAL
# line numbers stay valid even though kept blocks sat between deleted ranges.
# Verified against the live tree: each pruned block's recorded code is present or superseded.
# Result: 58304 -> 2640 lines (header + 1 kept block remain).
#
# format: del <start>-<end> line   # session — reason
del 58290-58304 line   # 38387177 — header + 1 truncated prompt, no file mutations
del 58177-58289 line   # c3c67a65(dup) — scripts/claude_tools/README.md present
del 57848-58176 line   # a3c83991 — extract_claude_history.{py,sh} present
del 53233-57847 line   # de800a42 — task-center hardening; all 8 in-scope files present/superseded
del 36039-53232 line   # 12d3adc4 — PHP/Kali install fixes + AI-safety doc; present/superseded
del 35200-36038 line   # c3c67a65 — claudeteam opus-force edits present
del 31259-35199 line   # 72f100dd — Unified Task System: product code PRESENT (task-center feature fixed live); 2 planning docs unrecoverable (truncated)
del 25721-31258 line   # 1cdf1159 — cross-OS launcher repair; files present
del 15414-25720 line   # c4f2933e — install-script merges + AI-safety rollout; present/superseded
del 13493-15413 line   # 3330ef60 — install-script audit; superseded by committed merges
del 10838-10857 line   # 633c359a — "HI" greeting, no mutations
del 7416-10837 line    # ce3decd1 — paths/install + linux launcher; present/superseded
del 4106-7415 line     # db694d3b — install edits present/superseded (postgres PGDG present L418-517, 9_ merged into 6_system_maintenance, keyring=newer/ambiguous)
del 5-4105 line        # 6245db8a — claude/CUDA tooling present; reboot_confirm.sh truncated/unrecoverable
del 10858-13492 line   # 5849e1f9 — autostart-target backend: VERIFIED PRESENT in live tree (autostart_target.py,
#                        systemd_user_startup_manager.py, target-aware linux/windows managers + control_router
#                        target/mechanism wiring all exist). The earlier "missing" call was a low-effort
#                        misread; forward-port is in place and being multi-role cross-validated.
#
# ALL 15 blocks reconciled. HistoryPycorePHP.txt fully pruned (58304 -> 4-line header).
# Backup: _prompts/History (copy 1).txt
